id;street_address;postal_code;city;state_province;location_detail;country_id
1;Secured productize;schemas;Octaviafurt;olive Ghana Games;users Savings Account;1
2;back-end green virtual;e-enable feed;Marquardtshire;Chief;Sports Falkland Islands (Malvinas) cross-platform;2
3;index bricks-and-clicks Secured;tangible e-markets Bike;Wuckertside;Rustic;stable 24 hour;3
4;Savings Account pink Steel;COM Concrete sky blue;Maximilliahaven;Sports Licensed European Unit of Account 17(E.U.A.-17);Refined Frozen Cheese Mali Orchestrator;4
5;analyzer;transmitting;Hudsonfort;help-desk;Cambridgeshire;5
6;Illinois Business-focused;RAM Money Market Account;Lowetown;Fantastic Plastic Computer invoice;Soft Tactics redundant;6
7;Martinique turn-key Licensed;payment Bedfordshire JBOD;Joelfort;Checking Account auxiliary Awesome Granite Bacon;vertical online embrace;7
8;auxiliary 1080p Track;Mauritius;Ratkebury;teal;full-range;8
9;synthesize Refined sky blue;drive bus;Lake Cecil;withdrawal Nigeria;leading-edge IB;9
10;holistic Colorado;utilisation Kiribati;North Triston;Rapid viral extensible;protocol Zambia;10
