id;domain;type;name;description
1;PAYMENT;EFX;model Bedfordshire compre;Organized Vista Designer
2;PAYMENT;SERVICE;programming;generating
3;PAYMENT;ENQUIRY;Wooden Pula Senior;Shirt
4;CASHMGMT;SERVICE;Specialist;synergies innovate North Korean Won
5;FXMGMT;EFX;Metical Technician;capacitor lime
6;FXMGMT;SERVICE;Buckinghamshire SCSI;alliance
7;FXMGMT;SERVICE;Cambridgeshire Bike Aweso;Svalbard & Jan Mayen Islands
8;CASHMGMT;ENQUIRY;quantify Car;violet Legacy
9;CASHMGMT;ENQUIRY;payment transmit green;Berkshire violet
10;FXMGMT;EFX;PointXXXXX;bluetooth Nevada Down-sized
